locus_tag	old_locus_tag	protein_id	GOfun	GOpro	GOfun_evidence	GOpro_evidence	product
AEP_RS02875	AEP_00572	WP_087494001.1	none	none	none	none	EVE domain-containing protein
AEP_RS02880	AEP_00573	WP_157673024.1	none	none	none	none	hypothetical protein
AEP_RS02885	AEP_00574	WP_087494003.1	none	none	none	none	oxidoreductase
AEP_RS02890	AEP_00575	WP_087494004.1	none	none	none	none	AraC family transcriptional regulator
AEP_RS02895	AEP_00576	WP_087494005.1	none	none	none	none	MAPEG family protein
AEP_RS02900	AEP_00577	WP_087494006.1	none	none	none	none	heme-degrading domain-containing protein
AEP_RS02905	AEP_00578	WP_087494007.1	none	none	none	none	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
AEP_RS02910	AEP_00579	WP_087494008.1	none	none	none	none	alpha/beta hydrolase
AEP_RS02915	AEP_00580	WP_087494009.1	none	none	none	none	3-hydroxybutyrate dehydrogenase
AEP_RS02920	AEP_00581	WP_087494010.1	none	none	none	none	serine/threonine protein kinase
AEP_RS20940	none	none	none	none	none	none	EAL domain-containing protein
AEP_RS02930	AEP_00583	WP_087494012.1	none	none	none	none	bifunctional diguanylate cyclase/phosphodiesterase
AEP_RS02935	AEP_00584	WP_087494013.1	none	none	none	none	hypothetical protein
AEP_RS02940	AEP_00585	WP_087494014.1	GO:0003677	GO:0000160;GO:0006355	IEA	IEA;IEA	two-component system response regulator OmpR
AEP_RS02945	AEP_00586	WP_232459985.1	none	none	none	none	ATP-binding protein
AEP_RS02950	AEP_00587	WP_087494015.1	GO:0008685	GO:0019288	IEA	IEA	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
AEP_RS02955	AEP_00588	WP_232459911.1	GO:0050518	GO:0019288	IEA	IEA	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
AEP_RS02960	AEP_00589	WP_087497152.1	GO:0003690;GO:0005515;GO:0005524;GO:0016887	GO:0006281	IEA;IEA;IEA;IEA	IEA	transcription-repair coupling factor
AEP_RS02965	AEP_00590	WP_087494017.1	GO:0036424	GO:0006564	IEA	IEA	phosphoserine phosphatase SerB
AEP_RS02970	AEP_00591	WP_087494018.1	none	none	none	none	alkaline phosphatase D family protein
AEP_RS02975	AEP_00592	WP_087494019.1	none	none	none	none	DsbA family oxidoreductase
AEP_RS02980	AEP_00593	WP_087494020.1	none	none	none	none	response regulator
AEP_RS02985	AEP_00594	WP_087494021.1	none	none	none	none	PLP-dependent aminotransferase family protein
AEP_RS02990	AEP_00595	WP_087494022.1	none	none	none	none	HDOD domain-containing protein
AEP_RS02995	AEP_00596	WP_087494023.1	GO:0003906	GO:0006281	IEA	IEA	endonuclease III
AEP_RS03000	AEP_00597	WP_087494024.1	none	none	none	none	HDOD domain-containing protein
AEP_RS03005	AEP_00598	WP_087494025.1	none	none	none	none	vanadium-dependent haloperoxidase
AEP_RS03010	AEP_00599	WP_198301890.1	none	none	none	none	CRTAC1 family protein
AEP_RS03015	AEP_00600	WP_087494026.1	none	none	none	none	ROK family protein
AEP_RS03020	AEP_00601	WP_087497154.1	GO:0005524	none	IEA	none	ATP-binding cassette domain-containing protein
AEP_RS03025	AEP_00602	WP_232459912.1	none	none	none	none	ABC transporter permease
AEP_RS03030	AEP_00603	WP_087494027.1	none	none	none	none	substrate-binding domain-containing protein
AEP_RS03035	AEP_00604	WP_087494028.1	none	none	none	none	histidine phosphatase family protein
AEP_RS03040	AEP_00605	WP_087494029.1	none	none	none	none	adenosylcobinamide-GDP ribazoletransferase
AEP_RS03045	AEP_00606	WP_232459913.1	GO:0008939	GO:0009236	IEA	IEA	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
AEP_RS03050	AEP_00607	WP_087497157.1	GO:0003824	GO:0009236	IEA	IEA	cobyric acid synthase
AEP_RS03055	AEP_00608	WP_198301891.1	none	none	none	none	alpha/beta hydrolase
AEP_RS03060	AEP_00609	WP_087494031.1	GO:0030170	GO:0009058	IEA	IEA	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
AEP_RS03065	AEP_00610	WP_087494032.1	GO:0016880	GO:0009236	IEA	IEA	adenosylcobinamide-phosphate synthase CbiB
AEP_RS03070	AEP_00611	WP_087494033.1	GO:0008817	GO:0009236	IEA	IEA	cob(I)yrinic acid a,c-diamide adenosyltransferase
AEP_RS03075	AEP_00612	WP_087497158.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03080	AEP_00613	WP_087494034.1	none	none	none	none	iron ABC transporter permease
AEP_RS03085	AEP_00614	WP_087497159.1	none	none	none	none	helical backbone metal receptor
AEP_RS03090	AEP_00615	WP_087494035.1	GO:0000166;GO:0043752	GO:0009236	IEA;IEA	IEA	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
AEP_RS03095	AEP_00616	WP_087494036.1	none	none	none	none	ABC transporter substrate-binding protein
AEP_RS03100	AEP_00617	WP_087494037.1	GO:0042242	none	IEA	none	cobyrinate a,c-diamide synthase
AEP_RS03105	AEP_00618	WP_087494038.1	none	none	none	none	TonB-dependent receptor
AEP_RS03110	AEP_00619	WP_087494039.1	none	none	none	none	DUF904 domain-containing protein
AEP_RS03115	AEP_00620	WP_087494040.1	none	none	none	none	cell division protein ZapA
AEP_RS03120	AEP_00621	WP_087494041.1	none	none	none	none	sulfite exporter TauE/SafE family protein
AEP_RS03125	AEP_00622	WP_087494042.1	none	none	none	none	DUF3391 domain-containing protein
AEP_RS03130	AEP_00623	WP_087494043.1	GO:0018454	GO:0042619	IEA	IEA	acetoacetyl-CoA reductase
AEP_RS03135	AEP_00624	WP_087494044.1	none	none	none	none	acetyl-CoA C-acetyltransferase
AEP_RS03140	AEP_00625	WP_087494045.1	GO:0016746	GO:0042619	IEA	IEA	class I poly(R)-hydroxyalkanoic acid synthase
AEP_RS03145	AEP_00626	WP_087494046.1	none	none	none	none	hypothetical protein
AEP_RS03150	AEP_00627	WP_087494047.1	none	none	none	none	peptidoglycan editing factor PgeF
AEP_RS03155	AEP_00628	WP_087494048.1	GO:0016034	GO:0006559;GO:0006572	IEA	IEA;IEA	maleylacetoacetate isomerase
AEP_RS03160	AEP_00629	WP_087494049.1	none	none	none	none	antibiotic biosynthesis monooxygenase
AEP_RS03165	AEP_00630	WP_087494050.1	none	none	none	none	fumarylacetoacetate hydrolase family protein
AEP_RS03170	AEP_00631	WP_087494051.1	none	none	none	none	NUDIX hydrolase
AEP_RS03175	AEP_00632	WP_232459914.1	GO:0004527	none	IEA	none	exonuclease domain-containing protein
AEP_RS03180	AEP_00633	WP_087494052.1	none	none	none	none	hypothetical protein
AEP_RS03185	AEP_00634	WP_087497161.1	GO:0004797;GO:0005524	none	IEA;IEA	none	thymidine kinase
AEP_RS03190	AEP_00635	WP_087494053.1	GO:0003677	GO:0006310;GO:0015074	IEA	IEA;IEA	site-specific integrase
AEP_RS03195	AEP_00636	WP_087494054.1	none	none	none	none	MurR/RpiR family transcriptional regulator
AEP_RS03200	AEP_00637	WP_087494055.1	none	none	none	none	ABC transporter substrate-binding protein
AEP_RS03205	AEP_00638	WP_087494056.1	none	none	none	none	ABC transporter permease
AEP_RS03210	AEP_00639	WP_087494057.1	none	GO:0055085	none	IEA	D,D-dipeptide ABC transporter permease
AEP_RS03215	AEP_00640	WP_087494058.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03220	AEP_00641	WP_087494059.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03225	AEP_00642	WP_087494060.1	GO:0016805	GO:0006508	IEA	IEA	D-alanyl-D-alanine dipeptidase
AEP_RS03230	AEP_00643	WP_087494061.1	none	none	none	none	DUF4062 domain-containing protein
AEP_RS03235	AEP_00644	WP_087494062.1	none	none	none	none	hypothetical protein
AEP_RS03240	AEP_00645	WP_087494063.1	none	none	none	none	hypothetical protein
AEP_RS03245	AEP_00646	WP_087494064.1	GO:0005524	none	IEA	none	ATP-binding cassette domain-containing protein
AEP_RS03250	AEP_00647	WP_157673025.1	none	none	none	none	hypothetical protein
AEP_RS03255	AEP_00648	WP_087494066.1	GO:0005524;GO:0016887	none	IEA;IEA	none	AAA family ATPase
AEP_RS03260	AEP_00649	WP_087494067.1	none	none	none	none	hypothetical protein
AEP_RS03265	AEP_00650	WP_087494068.1	none	none	none	none	hypothetical protein
AEP_RS03270	AEP_00651	WP_087494069.1	none	none	none	none	caspase family protein
AEP_RS03275	AEP_00652	WP_087494070.1	none	none	none	none	hypothetical protein
AEP_RS03280	AEP_00653	WP_087494071.1	none	none	none	none	RNA polymerase sigma factor
AEP_RS03285	AEP_00654	WP_157673027.1	GO:0005524;GO:0016887	none	IEA;IEA	none	AAA family ATPase
AEP_RS03290	AEP_00655	WP_087494073.1	none	none	none	none	hypothetical protein
AEP_RS03295	AEP_00656	WP_087494074.1	none	none	none	none	DUF4852 domain-containing protein
AEP_RS20825	AEP_00657	WP_087494075.1	none	none	none	none	pre-toxin TG domain-containing protein
AEP_RS03305	AEP_00658	WP_232459986.1	none	none	none	none	DUF4230 domain-containing protein
AEP_RS03310	AEP_00659	WP_087494077.1	none	none	none	none	hypothetical protein
AEP_RS03315	AEP_00660	WP_198301892.1	none	none	none	none	TerB family tellurite resistance protein
AEP_RS03320	AEP_00661	WP_087494078.1	none	none	none	none	hypothetical protein
AEP_RS03330	AEP_00662	WP_087497162.1	none	none	none	none	NAD-dependent deacetylase
AEP_RS03335	AEP_00663	WP_087494080.1	GO:0016787	none	IEA	none	metallophosphoesterase
AEP_RS03340	AEP_00664	WP_087494081.1	none	none	none	none	hypothetical protein
AEP_RS03345	AEP_00665	WP_232459915.1	none	none	none	none	WYL domain-containing protein
AEP_RS03350	AEP_00666	WP_198301893.1	none	none	none	none	ATP-binding protein
AEP_RS03355	AEP_00667	WP_087494084.1	none	none	none	none	hypothetical protein
AEP_RS20590	AEP_00668	WP_157673031.1	none	none	none	none	hypothetical protein
AEP_RS03370	AEP_00669	WP_087494087.1	none	none	none	none	DUF2130 domain-containing protein
AEP_RS03375	AEP_00670	WP_087494088.1	none	none	none	none	hypothetical protein
AEP_RS03380	AEP_00671	WP_087494089.1	none	none	none	none	WYL domain-containing protein
AEP_RS03385	AEP_00672	WP_087494090.1	none	none	none	none	AlpA family transcriptional regulator
AEP_RS03390	AEP_00673	WP_157673032.1	none	none	none	none	hypothetical protein
AEP_RS20595	AEP_00674	WP_157673033.1	none	none	none	none	AAA family ATPase
AEP_RS03410	AEP_00675	WP_087494092.1	none	none	none	none	inovirus Gp2 family protein
AEP_RS03415	AEP_00676	WP_087494093.1	GO:0003677;GO:0004519	GO:0006304	IEA;IEA	IEA	type I restriction endonuclease
AEP_RS03420	AEP_00677	WP_087494094.1	none	none	none	none	restriction endonuclease subunit S
AEP_RS03425	AEP_00678	WP_087494095.1	none	none	none	none	type I restriction-modification system subunit M
AEP_RS03430	AEP_00679	WP_087494096.1	none	none	none	none	hypothetical protein
AEP_RS03435	AEP_00680	WP_087494097.1	GO:0004386	none	IEA	none	AAA domain-containing protein
AEP_RS03440	AEP_00681	WP_087494098.1	none	none	none	none	hypothetical protein
AEP_RS03445	none	WP_087494099.1	none	none	none	none	hypothetical protein
AEP_RS03450	AEP_00683	WP_087494100.1	none	none	none	none	DUF932 domain-containing protein
AEP_RS03455	AEP_00684	WP_087494101.1	none	none	none	none	YqaJ viral recombinase family protein
AEP_RS03460	AEP_00685	WP_087494102.1	none	none	none	none	hydrolase or metal-binding protein
AEP_RS03465	AEP_00686	WP_087494103.1	none	none	none	none	hypothetical protein
AEP_RS03470	AEP_00687	WP_087494104.1	none	none	none	none	hypothetical protein
AEP_RS03475	AEP_00688	WP_087494105.1	none	none	none	none	hypothetical protein
AEP_RS03480	AEP_00689	WP_157673034.1	none	none	none	none	hypothetical protein
AEP_RS03485	AEP_00690	WP_087494107.1	GO:0005524	none	IEA	none	UvrD-helicase domain-containing protein
AEP_RS03490	AEP_00691	WP_087494108.1	GO:0003677;GO:0003916	GO:0006265	IEA;IEA	IEA	topoisomerase DNA-binding C4 zinc finger domain-containing protein
AEP_RS03495	AEP_00692	WP_232459917.1	GO:0003676;GO:0016787;GO:0046872	none	IEA;IEA;IEA	none	DNA/RNA non-specific endonuclease
AEP_RS20830	AEP_00693	WP_198301894.1	GO:0003676;GO:0004519	none	IEA;IEA	none	HNH endonuclease
AEP_RS03505	AEP_00694	WP_157673035.1	none	none	none	none	FRG domain-containing protein
AEP_RS03515	AEP_00696	WP_157673036.1	none	none	none	none	hypothetical protein
AEP_RS03520	AEP_00697	WP_087494113.1	none	none	none	none	hypothetical protein
AEP_RS03525	AEP_00698	WP_087494114.1	none	none	none	none	hypothetical protein
AEP_RS03530	AEP_00699	WP_087497164.1	none	none	none	none	integron integrase
AEP_RS03545	AEP_00701	WP_087494116.1	none	none	none	none	MerR family transcriptional regulator
AEP_RS03550	AEP_00702	WP_087497165.1	GO:0003677	GO:0006310;GO:0006355	IEA	IEA;IEA	integration host factor subunit alpha
AEP_RS03555	AEP_00703	WP_087494117.1	GO:0004826	GO:0006432	IEA	IEA	phenylalanine--tRNA ligase subunit beta
AEP_RS03560	AEP_00704	WP_087494118.1	GO:0004826	GO:0006432	IEA	IEA	phenylalanine--tRNA ligase subunit alpha
AEP_RS03565	AEP_00705	WP_087494119.1	GO:0003735;GO:0019843	GO:0006412	IEA;IEA	IEA	50S ribosomal protein L20
AEP_RS03570	AEP_00706	WP_087497166.1	GO:0003735	GO:0006412	IEA	IEA	50S ribosomal protein L35
AEP_RS03575	AEP_00707	WP_087494120.1	GO:0003743	GO:0006413	IEA	IEA	translation initiation factor IF-3
AEP_RS03580	AEP_00708	WP_087494121.1	GO:0004829	GO:0006435	IEA	IEA	threonine--tRNA ligase
AEP_RS03585	AEP_00709	WP_087494122.1	GO:0004451	GO:0019752	IEA	IEA	isocitrate lyase
AEP_RS03590	AEP_00710	WP_087494123.1	GO:0004356	GO:0006542	IEA	IEA	type III glutamate--ammonia ligase
AEP_RS03595	AEP_00711	WP_087494124.1	none	GO:0055085	none	IEA	ABC transporter permease subunit
AEP_RS03600	AEP_00712	WP_087494125.1	none	none	none	none	ABC transporter permease
AEP_RS03605	AEP_00713	WP_087494126.1	GO:0005524;GO:0015417	GO:0015846	IEA;IEA	IEA	polyamine ABC transporter ATP-binding protein
AEP_RS03610	AEP_00714	WP_087494127.1	none	none	none	none	extracellular solute-binding protein
AEP_RS03615	AEP_00715	WP_087494128.1	none	none	none	none	aspartate aminotransferase family protein
AEP_RS03620	AEP_00716	WP_087494129.1	none	none	none	none	glutamine synthetase family protein
AEP_RS03625	AEP_00717	WP_087494130.1	none	none	none	none	PLP-dependent aminotransferase family protein
AEP_RS03630	AEP_00718	WP_087494131.1	none	none	none	none	FAD-binding oxidoreductase
AEP_RS03635	AEP_00719	WP_087494132.1	GO:0008783	GO:0008295	IEA	IEA	agmatinase
AEP_RS03640	AEP_00720	WP_087494133.1	none	none	none	none	DMT family transporter
AEP_RS03645	AEP_00721	WP_087494134.1	GO:0008428	GO:0051252	IEA	IEA	ribonuclease E activity regulator RraA
AEP_RS03650	AEP_00722	WP_087494135.1	none	none	none	none	hypothetical protein
AEP_RS03655	AEP_00723	WP_087494136.1	none	GO:0055085	none	IEA	ABC transporter permease subunit
AEP_RS03660	AEP_00724	WP_087494137.1	none	GO:0055085	none	IEA	ABC transporter permease subunit
AEP_RS03665	AEP_00725	WP_087494138.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03670	AEP_00726	WP_087494139.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03675	AEP_00727	WP_087494140.1	none	none	none	none	ABC transporter substrate-binding protein
AEP_RS03680	AEP_00728	WP_087494141.1	none	none	none	none	NAD(P)-binding protein
AEP_RS03685	AEP_00729	WP_157673037.1	GO:0003677	GO:0000160;GO:0006355	IEA	IEA;IEA	winged helix-turn-helix domain-containing protein
AEP_RS03690	AEP_00730	WP_087494143.1	none	none	none	none	hypothetical protein
AEP_RS03695	AEP_00731	WP_198301942.1	none	none	none	none	VOC family protein
AEP_RS03700	AEP_00732	WP_198301895.1	none	none	none	none	thiamine pyrophosphate-binding protein
AEP_RS03705	AEP_00733	WP_087497168.1	none	none	none	none	aminotransferase class V-fold PLP-dependent enzyme
AEP_RS03710	AEP_00734	WP_087494145.1	none	none	none	none	Lrp/AsnC family transcriptional regulator
AEP_RS03715	AEP_00735	WP_087494146.1	GO:0004505	GO:0006559	IEA	IEA	phenylalanine 4-monooxygenase
AEP_RS03720	AEP_00736	WP_087494147.1	GO:0004334	GO:0006559;GO:0006572	IEA	IEA;IEA	fumarylacetoacetase
AEP_RS03725	AEP_00737	WP_087494148.1	none	none	none	none	VOC family protein
AEP_RS03730	AEP_00738	WP_087494149.1	GO:0003868	GO:0006559;GO:0006572	IEA	IEA;IEA	4-hydroxyphenylpyruvate dioxygenase
AEP_RS03735	AEP_00739	WP_087494150.1	none	none	none	none	Lrp/AsnC family transcriptional regulator
AEP_RS03740	AEP_00740	WP_087494151.1	none	none	none	none	hypothetical protein
AEP_RS03745	AEP_00741	WP_157673038.1	none	none	none	none	OmpA family protein
AEP_RS03750	AEP_00742	WP_087494153.1	none	none	none	none	BON domain-containing protein
AEP_RS03755	AEP_00743	WP_087494154.1	none	none	none	none	hypothetical protein
AEP_RS03760	AEP_00744	WP_087494155.1	none	none	none	none	hypothetical protein
AEP_RS03765	AEP_00745	WP_157673039.1	GO:0005506;GO:0016491	GO:0008610	IEA;IEA	IEA	sterol desaturase family protein
AEP_RS03770	AEP_00746	WP_087494157.1	none	none	none	none	Crp/Fnr family transcriptional regulator
AEP_RS03775	AEP_00747	WP_087494158.1	none	none	none	none	Crp/Fnr family transcriptional regulator
AEP_RS03780	AEP_00748	WP_087494159.1	none	none	none	none	hypothetical protein
AEP_RS03785	AEP_00749	WP_087494160.1	none	none	none	none	GGDEF domain-containing protein
AEP_RS03790	AEP_00750	WP_087494161.1	none	none	none	none	hypothetical protein
AEP_RS03795	AEP_00751	WP_087494162.1	none	none	none	none	hypothetical protein
AEP_RS03800	AEP_00752	WP_157673040.1	none	none	none	none	hypothetical protein
AEP_RS03805	AEP_00753	WP_087494164.1	none	none	none	none	glycine zipper 2TM domain-containing protein
AEP_RS03810	AEP_00754	WP_087494165.1	GO:0022857	GO:0055085	IEA	IEA	MFS transporter
AEP_RS03815	AEP_00755	WP_087494166.1	none	none	none	none	helix-turn-helix transcriptional regulator
AEP_RS03820	AEP_00756	WP_198301896.1	none	none	none	none	PRC-barrel domain-containing protein
AEP_RS03825	AEP_00757	WP_087494168.1	none	none	none	none	polyphosphate kinase 2 family protein
AEP_RS03830	AEP_00758	WP_087497169.1	none	none	none	none	cupin domain-containing protein
AEP_RS03835	AEP_00759	WP_087494169.1	none	none	none	none	pyridoxal-phosphate dependent enzyme
AEP_RS03840	AEP_00760	WP_087494170.1	none	none	none	none	DUF427 domain-containing protein
AEP_RS03845	AEP_00761	WP_087494171.1	none	none	none	none	ABC transporter substrate-binding protein
AEP_RS03850	AEP_00762	WP_087494172.1	none	none	none	none	ABC transporter permease
AEP_RS03855	AEP_00763	WP_087494173.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS03860	AEP_00764	WP_087497170.1	none	none	none	none	ABC transporter permease
AEP_RS03865	AEP_00765	WP_087497171.1	none	none	none	none	carboxymuconolactone decarboxylase family protein
AEP_RS03870	AEP_00766	WP_087494174.1	GO:0016887	GO:0006457	IEA	IEA	ATP-dependent chaperone ClpB
AEP_RS03875	AEP_00767	WP_087494175.1	none	none	none	none	hypothetical protein
AEP_RS03880	AEP_00768	WP_087494176.1	none	GO:0006777	none	IEA	molybdenum cofactor biosynthesis protein MoaE
AEP_RS03885	AEP_00769	WP_087497172.1	GO:0008840	GO:0009089	IEA	IEA	4-hydroxy-tetrahydrodipicolinate synthase
AEP_RS03890	AEP_00770	WP_087494177.1	GO:0003824	GO:0006777	IEA	IEA	molybdopterin converting factor subunit 1
AEP_RS03895	AEP_00771	WP_087494178.1	none	none	none	none	molybdopterin molybdotransferase MoeA
AEP_RS03900	AEP_00772	WP_087494179.1	GO:0004795	GO:0009088	IEA	IEA	threonine synthase
AEP_RS03905	AEP_00773	WP_087494180.1	none	none	none	none	homoserine dehydrogenase
AEP_RS03910	AEP_00774	WP_087494181.1	none	none	none	none	pyridoxal phosphate-dependent aminotransferase
AEP_RS03915	AEP_00775	WP_087494182.1	none	none	none	none	Mth938-like domain-containing protein
AEP_RS03920	AEP_00776	WP_087494183.1	none	none	none	none	peroxiredoxin
AEP_RS03925	AEP_00777	WP_087494184.1	GO:0005524	none	IEA	none	PhoH family protein
AEP_RS03930	AEP_00778	WP_087494185.1	GO:0003677;GO:0003678;GO:0005524	GO:0006260	IEA;IEA;IEA	IEA	replicative DNA helicase
AEP_RS03935	AEP_00779	WP_087494186.1	GO:0003735	GO:0006412	IEA	IEA	50S ribosomal protein L9
AEP_RS03940	AEP_00780	WP_029708819.1	GO:0003735	GO:0006412	IEA	IEA	30S ribosomal protein S18
AEP_RS03945	AEP_00781	WP_257789658.1	GO:0003697	GO:0006269	IEA	IEA	primosomal replication protein N
AEP_RS03950	AEP_00782	WP_087494188.1	GO:0003735	GO:0006412	IEA	IEA	30S ribosomal protein S6
AEP_RS03955	AEP_00783	WP_087494189.1	GO:0022857	GO:0055085	IEA	IEA	VC_2705 family sodium/solute symporter
AEP_RS03960	AEP_00784	WP_087494190.1	GO:0005524;GO:0008986;GO:0016772	GO:0006090;GO:0016310	IEA;IEA;IEA	IEA;IEA	phosphoenolpyruvate synthase
AEP_RS03965	AEP_00785	WP_087497173.1	none	none	none	none	kinase/pyrophosphorylase
AEP_RS03970	AEP_00786	WP_232459919.1	none	none	none	none	DUF2325 domain-containing protein
AEP_RS03975	AEP_00788	WP_087494192.1	GO:0004322;GO:0008199	GO:0006880	IEA;IEA	IEA	bacterioferritin
AEP_RS03980	AEP_00789	WP_087494193.1	none	none	none	none	sel1 repeat family protein
AEP_RS03985	AEP_00790	WP_087494194.1	none	none	none	none	(2Fe-2S)-binding protein
AEP_RS03990	AEP_00791	WP_087494195.1	none	none	none	none	TonB-dependent receptor
AEP_RS03995	AEP_00792	WP_087494196.1	GO:0005506;GO:0016706;GO:0031418	none	IEA;IEA;IEA	none	Fe2+-dependent dioxygenase
AEP_RS04000	AEP_00793	WP_087494197.1	GO:0015291	GO:0006810	IEA	IEA	energy transducer TonB
AEP_RS04005	AEP_00794	WP_087494198.1	none	none	none	none	MotA/TolQ/ExbB proton channel family protein
AEP_RS04010	AEP_00795	WP_087494199.1	none	none	none	none	biopolymer transporter ExbD
AEP_RS04015	AEP_00796	WP_087494200.1	none	none	none	none	hemin uptake protein HemP
AEP_RS04020	AEP_00797	WP_087494201.1	none	none	none	none	heme-binding protein
AEP_RS04025	AEP_00798	WP_087494202.1	none	none	none	none	Bax inhibitor-1/YccA family protein
AEP_RS04030	AEP_00799	WP_232459920.1	none	none	none	none	hypothetical protein
AEP_RS04035	AEP_00800	WP_087494203.1	GO:0008173	GO:0006396	IEA	IEA	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
AEP_RS04040	AEP_00801	WP_087494204.1	GO:0003677;GO:0003700;GO:0016987	GO:0006352;GO:0006355	IEA;IEA;IEA	IEA;IEA	sigma-70 family RNA polymerase sigma factor
AEP_RS04045	AEP_00802	WP_087494205.1	none	none	none	none	peptidoglycan DD-metalloendopeptidase family protein
AEP_RS04050	AEP_00803	WP_087494206.1	GO:0004719	GO:0036211	IEA	IEA	protein-L-isoaspartate(D-aspartate) O-methyltransferase
AEP_RS04055	AEP_00804	WP_087494207.1	GO:0008252	none	IEA	none	5'/3'-nucleotidase SurE
AEP_RS04060	AEP_00805	WP_087494208.1	none	none	none	none	NADPH:quinone oxidoreductase family protein
AEP_RS04065	AEP_00806	WP_087494209.1	none	none	none	none	integrase family protein
AEP_RS04070	AEP_00807	WP_157673041.1	none	none	none	none	hypothetical protein
AEP_RS20945	AEP_00808	WP_087494211.1	none	none	none	none	hypothetical protein
AEP_RS04080	AEP_00809	WP_087494212.1	none	none	none	none	hypothetical protein
AEP_RS20600	none	WP_157673042.1	none	none	none	none	hypothetical protein
AEP_RS04090	AEP_00812	WP_087494213.1	none	none	none	none	hypothetical protein
AEP_RS04100	AEP_00814	WP_087494214.1	none	none	none	none	SurA N-terminal domain-containing protein
AEP_RS04110	AEP_00816	WP_066709320.1	none	none	none	none	HU family DNA-binding protein
AEP_RS04115	AEP_00817	WP_087494215.1	GO:0008444	GO:0008654	IEA	IEA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
AEP_RS04120	AEP_00818	WP_087494216.1	GO:0009381	GO:0006289	IEA	IEA	excinuclease ABC subunit UvrC
AEP_RS04125	AEP_00819	WP_087494217.1	GO:0106361	none	IEA	none	elongation factor P maturation arginine rhamnosyltransferase EarP
AEP_RS04130	AEP_00820	WP_087494218.1	GO:0003746	GO:0006414	IEA	IEA	elongation factor P
AEP_RS04135	AEP_00821	WP_087494219.1	none	none	none	none	TIGR00730 family Rossman fold protein
AEP_RS04140	AEP_00822	WP_257789663.1	GO:0022857	GO:0055085	IEA	IEA	MFS transporter
AEP_RS04145	AEP_00823	WP_087494220.1	none	none	none	none	DNA recombination protein RmuC
AEP_RS04150	AEP_00824	WP_087494221.1	none	none	none	none	D-glycerate dehydrogenase
AEP_RS04155	AEP_00825	WP_087494222.1	GO:0004516	GO:0019358	IEA	IEA	nicotinate phosphoribosyltransferase
AEP_RS04160	AEP_00826	WP_087494223.1	none	none	none	none	nitroreductase
AEP_RS04165	AEP_00827	WP_087494224.1	none	none	none	none	acyl-CoA thioesterase
AEP_RS04170	AEP_00828	WP_087494225.1	none	none	none	none	phasin family protein
AEP_RS04175	AEP_00829	WP_232459987.1	none	none	none	none	patatin-like phospholipase family protein
AEP_RS04180	AEP_00830	WP_087494227.1	none	none	none	none	DUF1499 domain-containing protein
AEP_RS04185	AEP_00831	WP_087494228.1	GO:0004176	GO:0006508;GO:0043335	IEA	IEA;IEA	ATP-dependent Clp protease ATP-binding subunit ClpA
AEP_RS04190	AEP_00832	WP_087494229.1	none	none	none	none	ATP-dependent Clp protease adapter ClpS
AEP_RS04195	AEP_00833	WP_087494230.1	GO:0000287;GO:0004450;GO:0051287	GO:0006099	IEA;IEA;IEA	IEA	NADP-dependent isocitrate dehydrogenase
AEP_RS04200	AEP_00834	WP_087494231.1	none	none	none	none	DUF192 domain-containing protein
AEP_RS04205	AEP_00835	WP_087494232.1	GO:0004450	GO:0006099	IEA	IEA	NADP-dependent isocitrate dehydrogenase
AEP_RS04210	AEP_00836	WP_087494233.1	none	none	none	none	superoxide dismutase [Fe]
AEP_RS04215	AEP_00837	WP_087497174.1	GO:0008855	GO:0006308	IEA	IEA	exodeoxyribonuclease VII large subunit
AEP_RS04220	AEP_00838	WP_087494234.1	none	none	none	none	MotA/TolQ/ExbB proton channel family protein
AEP_RS04225	AEP_00839	WP_087494235.1	none	none	none	none	biopolymer transporter ExbD
AEP_RS04230	AEP_00840	WP_087494236.1	GO:0009029	GO:0009245	IEA	IEA	tetraacyldisaccharide 4'-kinase
AEP_RS04235	AEP_00841	WP_087494237.1	none	none	none	none	Trm112 family protein
AEP_RS04240	AEP_00842	WP_087494238.1	GO:0008690	GO:0009244	IEA	IEA	3-deoxy-manno-octulosonate cytidylyltransferase
AEP_RS04245	AEP_00843	WP_087494239.1	GO:0004017;GO:0005524	GO:0006139	IEA;IEA	IEA	adenylate kinase
AEP_RS04250	AEP_00844	WP_087494240.1	none	none	none	none	asparaginase
