GID	SYMBOL	GENENAME
none	none	HAMP domain-containing protein
AEP_01032	WP_087494404.1	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
AEP_01033	WP_087494405.1	polynucleotide adenylyltransferase PcnB
AEP_01034	WP_087494406.1	HAD-IB family hydrolase
AEP_01035	WP_087494407.1	DnaA regulatory inactivator Hda
AEP_01036	WP_087494408.1	AI-2E family transporter
AEP_01037	WP_087494409.1	phosphoribosylformylglycinamidine cyclo-ligase
AEP_01038	WP_087494410.1	ParA family protein
AEP_01039	WP_087494411.1	tetratricopeptide repeat protein
AEP_01040	WP_087497193.1	murein biosynthesis integral membrane protein MurJ
AEP_01041	WP_087494412.1	30S ribosomal protein S20
AEP_01042	WP_087494413.1	DUF3579 domain-containing protein
AEP_01043	WP_087494414.1	aspartate aminotransferase family protein
AEP_01044	WP_087494415.1	ornithine carbamoyltransferase
AEP_01045	WP_087494416.1	hypothetical protein
AEP_01046	WP_087494417.1	Lrp/AsnC family transcriptional regulator
AEP_01047	WP_087494418.1	kynureninase
AEP_01048	WP_087494419.1	tryptophan 2,3-dioxygenase
AEP_01049	WP_087494420.1	DinB family protein
AEP_01050	WP_087494421.1	hypothetical protein
AEP_01052	WP_087494422.1	zinc-dependent alcohol dehydrogenase family protein
AEP_01053	WP_087494423.1	acetyl-CoA hydrolase/transferase family protein
AEP_01054	WP_087494424.1	hypothetical protein
AEP_01055	WP_087494425.1	phytanoyl-CoA dioxygenase family protein
AEP_01056	WP_157673054.1	hypothetical protein
AEP_01057	WP_087494426.1	HNH endonuclease
AEP_01058	WP_232459934.1	BLUF domain-containing protein
AEP_01059	WP_087494427.1	hypothetical protein
AEP_01060	WP_087494428.1	hypothetical protein
AEP_01062	WP_087494429.1	metal-dependent hydrolase
AEP_01063	WP_087494430.1	histidine ammonia-lyase
AEP_01064	WP_087494431.1	urocanate hydratase
AEP_01065	WP_087494432.1	histidine utilization repressor
AEP_01066	WP_087494433.1	HutD family protein
AEP_01067	WP_087494434.1	imidazolonepropionase
AEP_01068	WP_232459935.1	N-formylglutamate deformylase
AEP_01069	WP_087494435.1	formimidoylglutamate deiminase
AEP_01070	WP_157673055.1	hypothetical protein
AEP_01071	WP_087497195.1	FAD-dependent monooxygenase
AEP_01072	WP_087494436.1	sensor domain-containing diguanylate cyclase
AEP_01073	WP_087494437.1	Cd(II)/Pb(II)-responsive transcriptional regulator
AEP_01074	WP_198301900.1	cation transporter
AEP_01075	WP_087494439.1	NAD(P)H-binding protein
AEP_01076	WP_087494440.1	LysR substrate-binding domain-containing protein
AEP_01077	WP_087494441.1	aconitate hydratase AcnA
AEP_01078	WP_087494442.1	molybdopterin-dependent oxidoreductase
AEP_01079	WP_157673056.1	transporter substrate-binding domain-containing protein
AEP_01080	WP_087494444.1	LysR family transcriptional regulator ArgP
AEP_01081	WP_232459936.1	LysE family transporter
AEP_01082	WP_087494445.1	MAPEG family protein
AEP_01083	WP_087497197.1	IMPACT family protein
AEP_01084	WP_087494446.1	hypothetical protein
AEP_01085	WP_087494447.1	TetR family transcriptional regulator
AEP_01086	WP_087494448.1	efflux RND transporter periplasmic adaptor subunit
AEP_01087	WP_087494449.1	efflux RND transporter permease subunit
AEP_01088	WP_087494450.1	efflux transporter outer membrane subunit
AEP_01089	WP_087494451.1	hypothetical protein
AEP_01090	WP_087494452.1	DUF3617 family protein
none	none	integrase core domain-containing protein
none	WP_157673057.1	hypothetical protein
none	none	transposase
AEP_01093	WP_087494453.1	hypothetical protein
AEP_01094	WP_087494454.1	hypothetical protein
AEP_01095	none	DUF3617 family protein
AEP_01096	WP_087494456.1	YciI family protein
AEP_01097	WP_157673059.1	hypothetical protein
AEP_01098	WP_087494458.1	DNA topoisomerase IV subunit A
AEP_01099	WP_232459937.1	transglycosylase SLT domain-containing protein
AEP_01100	WP_087494459.1	type IIA DNA topoisomerase subunit B
AEP_01101	WP_087494460.1	MFS transporter
AEP_01103	WP_087497199.1	SDR family oxidoreductase
AEP_01104	WP_087494461.1	class I SAM-dependent methyltransferase
AEP_01105	WP_087494462.1	4-hydroxy-tetrahydrodipicolinate synthase
AEP_01106	WP_087494463.1	outer membrane protein assembly factor BamC
none	WP_087494464.1	hypothetical protein
AEP_01107	WP_232459938.1	hypothetical protein
AEP_01108	WP_087494466.1	cupin domain-containing protein
AEP_01109	WP_087494467.1	FKBP-type peptidyl-prolyl cis-trans isomerase
AEP_01110	WP_087494468.1	dUTP diphosphatase
AEP_01111	WP_087494469.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
AEP_01112	WP_087497200.1	CTP synthase
AEP_01113	WP_087494470.1	3-deoxy-8-phosphooctulonate synthase
AEP_01114	WP_087494471.1	phosphopyruvate hydratase
AEP_01115	WP_087494472.1	septum formation initiator family protein
AEP_01116	WP_087494473.1	ATP-binding protein
AEP_01117	WP_087494474.1	Hsp33 family molecular chaperone HslO
AEP_01118	WP_087494475.1	gamma carbonic anhydrase family protein
AEP_01119	WP_087494476.1	ferritin-like domain-containing protein
AEP_01120	WP_087494477.1	HDOD domain-containing protein
AEP_01121	WP_232459939.1	site-specific tyrosine recombinase XerD
AEP_01122	WP_087494479.1	tripartite tricarboxylate transporter substrate binding protein BugE
AEP_01123	WP_087494480.1	AEC family transporter
AEP_01124	WP_232459940.1	M14 family zinc carboxypeptidase
AEP_01126	WP_087494482.1	MBL fold metallo-hydrolase
AEP_01127	WP_087494483.1	isochorismatase family protein
AEP_01128	WP_087497201.1	tRNA epoxyqueuosine(34) reductase QueG
AEP_01129	WP_232459989.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
AEP_01130	WP_232459941.1	N-acetylmuramoyl-L-alanine amidase
AEP_01131	WP_087494485.1	hypothetical protein
AEP_01132	WP_157673060.1	EAL domain-containing protein
AEP_01133	WP_087494487.1	VTT domain-containing protein
AEP_01134	WP_087494488.1	sterol desaturase family protein
AEP_01135	WP_087494489.1	DNA mismatch repair endonuclease MutL
AEP_01136	WP_087494490.1	DNA alkylation repair protein
AEP_01137	WP_087494491.1	tRNA 5-hydroxyuridine modification protein YegQ
AEP_01138	WP_087497203.1	DMT family transporter
AEP_01139	WP_087494492.1	glycerophosphodiester phosphodiesterase
AEP_01140	WP_087494493.1	MATE family efflux transporter
AEP_01141	WP_087494494.1	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
AEP_01142	WP_087494495.1	ABC transporter ATP-binding protein
AEP_01143	WP_157673061.1	transporter substrate-binding domain-containing protein
AEP_01144	WP_232459942.1	PEP-CTERM sorting domain-containing protein
AEP_01145	WP_232459943.1	ATP-binding cassette domain-containing protein
AEP_01146	WP_087494499.1	iron ABC transporter permease
AEP_01147	WP_087494500.1	thiamine ABC transporter substrate-binding protein
AEP_01148	WP_087494501.1	DUF2269 domain-containing protein
AEP_01149	WP_087494502.1	DoxX-like family protein
AEP_01150	WP_087494503.1	SRPBCC family protein
AEP_01151	WP_087494504.1	saccharopine dehydrogenase NADP-binding domain-containing protein
AEP_01152	WP_087497204.1	ABC transporter permease
AEP_01153	WP_087494505.1	TRAP transporter substrate-binding protein
AEP_01154	WP_087494506.1	TRAP transporter large permease subunit
AEP_01155	WP_087494507.1	TRAP transporter small permease subunit
AEP_01156	WP_232459944.1	gluconokinase, GntK/IdnK-type
AEP_01157	WP_087494508.1	LacI family DNA-binding transcriptional regulator
AEP_01158	WP_087494509.1	DUF2917 domain-containing protein
AEP_01159	WP_087494510.1	LysR substrate-binding domain-containing protein
AEP_01160	WP_157673062.1	SH3 domain-containing protein
AEP_01161	WP_087494512.1	M48 family metalloprotease
AEP_01162	WP_087494513.1	carotenoid 1,2-hydratase
AEP_01163	WP_087494514.1	alpha/beta hydrolase
AEP_01164	WP_087494515.1	ABC transporter transmembrane domain-containing protein
AEP_01165	WP_087494516.1	hypothetical protein
AEP_01166	WP_157673063.1	hypothetical protein
AEP_01167	WP_087494518.1	Glu/Leu/Phe/Val dehydrogenase
AEP_01168	WP_087494519.1	DUF1178 family protein
AEP_01169	WP_087494520.1	NUDIX hydrolase
AEP_01170	WP_087494521.1	DUF2818 family protein
AEP_01171	WP_087497206.1	NADH-quinone oxidoreductase subunit NuoN
AEP_01172	WP_087494522.1	NADH-quinone oxidoreductase subunit M
AEP_01173	WP_087494523.1	NADH-quinone oxidoreductase subunit L
AEP_01174	WP_087494524.1	NADH-quinone oxidoreductase subunit NuoK
AEP_01175	WP_087494525.1	NADH-quinone oxidoreductase subunit J
AEP_01176	WP_087494526.1	NADH-quinone oxidoreductase subunit NuoI
AEP_01177	WP_087494527.1	NADH-quinone oxidoreductase subunit NuoH
AEP_01178	WP_087494528.1	NADH-quinone oxidoreductase subunit NuoG
AEP_01179	WP_087494529.1	NADH-quinone oxidoreductase subunit NuoF
AEP_01180	WP_087494530.1	NADH-quinone oxidoreductase subunit NuoE
AEP_01181	WP_087494531.1	NADH-quinone oxidoreductase subunit D
AEP_01182	WP_087494532.1	NADH-quinone oxidoreductase subunit C
AEP_01183	WP_087494533.1	NADH-quinone oxidoreductase subunit B
AEP_01184	WP_087494534.1	NADH-quinone oxidoreductase subunit A
AEP_01186	WP_087494535.1	preprotein translocase subunit SecG
AEP_01187	WP_087494536.1	triose-phosphate isomerase
AEP_01188	WP_087494537.1	NAD(P)H-quinone oxidoreductase
AEP_01189	WP_087494538.1	polyribonucleotide nucleotidyltransferase
AEP_01190	WP_087494539.1	30S ribosomal protein S15
AEP_01191	WP_087494540.1	Hsp20/alpha crystallin family protein
AEP_01192	WP_087494541.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
AEP_01193	WP_087494542.1	GNAT family N-acetyltransferase
AEP_01194	WP_087494543.1	ANTAR domain-containing protein
AEP_01195	WP_157673064.1	Crp/Fnr family transcriptional regulator
AEP_01196	WP_157673065.1	sterol desaturase family protein
AEP_01197	WP_087494545.1	hypothetical protein
AEP_01198	WP_087494546.1	ABC transporter substrate-binding protein
AEP_01199	WP_087494547.1	nitrate ABC transporter permease
AEP_01200	WP_087497207.1	ABC transporter ATP-binding protein
AEP_01201	WP_087494548.1	nitrite reductase large subunit NirB
AEP_01202	WP_087494549.1	type IV pili methyl-accepting chemotaxis transducer N-terminal domain-containing protein
AEP_01203	WP_087494550.1	nitrite reductase small subunit NirD
AEP_01204	WP_087497208.1	nitrate reductase
AEP_01205	WP_087494551.1	DNA-binding protein YbiB
AEP_01206	WP_087494552.1	uroporphyrinogen-III C-methyltransferase
AEP_01207	WP_087494553.1	methyl-accepting chemotaxis protein
AEP_01208	WP_087494554.1	NAD(P)/FAD-dependent oxidoreductase
AEP_01209	WP_006296472.1	30S ribosomal protein S21
AEP_01210	WP_087494555.1	GatB/YqeY domain-containing protein
AEP_01211	WP_232459945.1	DUF4399 domain-containing protein
AEP_01212	WP_087494556.1	metalloprotease PmbA
AEP_01213	WP_087494557.1	DUF615 domain-containing protein
AEP_01214	WP_087494558.1	molybdopterin adenylyltransferase
AEP_01215	WP_087494559.1	serine O-acetyltransferase
AEP_01216	WP_087494560.1	RNA methyltransferase
AEP_01217	WP_087494561.1	inositol monophosphatase
AEP_01218	WP_087494562.1	EAL domain-containing protein
AEP_01219	WP_198301901.1	EAL domain-containing protein
AEP_01220	WP_087494563.1	DNA mismatch repair protein MutS
AEP_01221	WP_087494564.1	proteasome-type protease
AEP_01222	WP_087494565.1	alpha/beta hydrolase
AEP_01223	WP_087494566.1	ATP-binding protein
AEP_01224	WP_087494567.1	EAL domain-containing response regulator
AEP_01225	WP_087494568.1	undecaprenyl-diphosphate phosphatase
AEP_01226	WP_087494569.1	ABC transporter permease
AEP_01227	WP_087494570.1	ABC transporter ATP-binding protein
AEP_01228	WP_087494571.1	efflux RND transporter periplasmic adaptor subunit
AEP_01229	WP_087497211.1	DUF2306 domain-containing protein
AEP_01230	WP_087494572.1	2TM domain-containing protein
AEP_01231	WP_232459946.1	histidine kinase
AEP_01232	WP_087494573.1	LytTR family DNA-binding domain-containing protein
AEP_01233	WP_087494574.1	branched-chain amino acid ABC transporter substrate-binding protein
AEP_01234	WP_087494575.1	hypothetical protein
AEP_01235	WP_087494576.1	branched-chain amino acid ABC transporter substrate-binding protein
AEP_01236	WP_087494577.1	DUF2157 domain-containing protein
AEP_01237	WP_087494578.1	glutaminase
AEP_01238	WP_087494579.1	hypothetical protein
AEP_01239	WP_087494580.1	GGDEF domain-containing protein
AEP_01240	WP_087494581.1	glutamine--tRNA ligase/YqeY domain fusion protein
AEP_01241	WP_087494582.1	DUF262 domain-containing protein
AEP_01242	WP_157673066.1	hypothetical protein
AEP_01243	WP_087494584.1	DUF924 domain-containing protein
AEP_01244	WP_087494585.1	NERD domain-containing protein
AEP_01245	WP_087494586.1	hypothetical protein
AEP_01246	WP_087494587.1	hypothetical protein
AEP_01247	WP_087494588.1	nucleotidyltransferase domain-containing protein
AEP_01248	WP_087494589.1	DUF86 domain-containing protein
AEP_01249	WP_087494590.1	hypothetical protein
AEP_01250	WP_087494591.1	uridine kinase
AEP_01251	WP_087494592.1	hemerythrin domain-containing protein
AEP_01252	WP_087494593.1	M14 family metallocarboxypeptidase
AEP_01253	WP_087494594.1	glutathione S-transferase family protein
AEP_01254	WP_087494595.1	hypothetical protein
AEP_01255	WP_198301902.1	right-handed parallel beta-helix repeat-containing protein
AEP_01256	WP_087494596.1	alkene reductase
AEP_01257	WP_087494597.1	hypothetical protein
AEP_01258	WP_087494598.1	thioredoxin TrxC
AEP_01259	WP_087494599.1	hypothetical protein
AEP_01260	WP_087494600.1	DUF938 domain-containing protein
AEP_01261	WP_198301903.1	3'-5' exonuclease domain-containing protein 2
AEP_01262	WP_087494602.1	DUF6172 family protein
AEP_01263	WP_087494603.1	sensor domain-containing diguanylate cyclase
AEP_01265	WP_232459947.1	DsbC family protein
AEP_01266	WP_087497215.1	YitT family protein
AEP_01267	WP_087494604.1	zinc-dependent peptidase
AEP_01268	WP_087494605.1	universal stress protein
AEP_01269	WP_157673067.1	hypothetical protein
AEP_01270	WP_087494607.1	hypothetical protein
AEP_01271	WP_087494608.1	SOS response-associated peptidase family protein
AEP_01272	WP_087494609.1	ribosome biogenesis GTPase YlqF
AEP_01273	WP_087494610.1	hypothetical protein
AEP_01274	WP_087494611.1	glutamate--cysteine ligase
AEP_01275	WP_157673068.1	GGDEF domain-containing protein
AEP_01276	WP_087494613.1	SDR family oxidoreductase
AEP_01277	WP_087494614.1	hypothetical protein
AEP_01278	WP_087494615.1	GNAT family N-acetyltransferase
AEP_01279	WP_087494616.1	tRNA-dihydrouridine synthase
AEP_01280	WP_157673069.1	hypothetical protein
AEP_01281	WP_087494618.1	dihydrofolate reductase family protein
AEP_01282	WP_198301904.1	hypothetical protein
AEP_01283	WP_087494619.1	alkyl hydroperoxide reductase subunit F
AEP_01284	WP_087494620.1	alkyl hydroperoxide reductase subunit C
AEP_01285	WP_087497216.1	DUF3422 domain-containing protein
AEP_01286	WP_157673070.1	DUF4864 domain-containing protein
AEP_01287	WP_087494622.1	tripartite tricarboxylate transporter permease
AEP_01288	WP_087494623.1	tripartite tricarboxylate transporter TctB family protein
AEP_01289	WP_087494624.1	type II/IV secretion system protein
AEP_01290	WP_087494625.1	spermidine synthase
AEP_01291	WP_087494626.1	TatD family hydrolase
AEP_01292	WP_087494627.1	ABC transporter substrate-binding protein
AEP_01293	WP_087494628.1	lipoprotein-releasing ABC transporter ATP-binding protein LolD
AEP_01294	WP_087494629.1	lipoprotein-releasing ABC transporter permease subunit
AEP_01295	WP_087494630.1	hypothetical protein
AEP_01296	WP_087494631.1	single-stranded-DNA-specific exonuclease RecJ
AEP_01297	WP_157673071.1	NUDIX domain-containing protein
AEP_01298	WP_087494633.1	transporter
AEP_01299	WP_087494634.1	SDR family NAD(P)-dependent oxidoreductase
AEP_01300	WP_087497217.1	polyphosphate kinase 2
AEP_01301	WP_087494635.1	acetyl-CoA C-acyltransferase family protein
AEP_01302	WP_087494636.1	GGDEF domain-containing protein
AEP_01303	WP_087497218.1	nitronate monooxygenase family protein
AEP_01304	WP_087494637.1	2OG-Fe dioxygenase family protein
AEP_01305	WP_087494638.1	hemerythrin
AEP_01306	WP_087494639.1	YitT family protein
AEP_01307	WP_087494640.1	DUF1003 domain-containing protein
AEP_01308	WP_087494641.1	NADP-dependent oxidoreductase
AEP_01309	WP_087494642.1	hypothetical protein
none	none	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_01311	WP_198301906.1	serine hydrolase
AEP_01312	WP_087494645.1	methionine synthase
AEP_01313	WP_232459948.1	transporter substrate-binding domain-containing protein
AEP_01314	WP_087494647.1	ABC transporter permease subunit
AEP_01315	WP_087494648.1	amino acid ABC transporter permease
AEP_01316	WP_087494649.1	amino acid ABC transporter ATP-binding protein
AEP_01317	WP_087494650.1	hypothetical protein
AEP_01318	WP_232459949.1	M14 family murein peptide amidase A
AEP_01319	WP_087494652.1	flavin reductase family protein
AEP_01320	WP_087494653.1	ABC transporter substrate-binding protein
AEP_01321	WP_087494654.1	DUF1631 family protein
AEP_01322	WP_087494655.1	energy-dependent translational throttle protein EttA
AEP_01323	WP_087494656.1	DUF1631 family protein
AEP_01324	WP_087494657.1	DEAD/DEAH box helicase
AEP_01325	WP_232459950.1	epimerase
AEP_01326	WP_087494658.1	hypothetical protein
AEP_01327	WP_087494659.1	lactoylglutathione lyase
AEP_01328	WP_087494660.1	SRPBCC domain-containing protein
AEP_01329	WP_087494661.1	SPFH domain-containing protein
AEP_01330	WP_087494662.1	YqiJ family protein
AEP_01331	WP_087494663.1	PspA/IM30 family protein
AEP_01332	WP_087494664.1	hypothetical protein
AEP_01333	WP_087494665.1	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
AEP_01334	WP_087494666.1	phosphogluconate dehydratase
AEP_01335	WP_087494667.1	NTP transferase domain-containing protein
AEP_01336	WP_087494668.1	hypothetical protein
AEP_01337	WP_087497220.1	pyridoxamine 5'-phosphate oxidase
AEP_01338	WP_087494669.1	DUF502 domain-containing protein
AEP_01339	WP_232459951.1	VanZ family protein
AEP_01340	WP_087497222.1	AEC family transporter
AEP_01341	WP_232459990.1	DUF3299 domain-containing protein
AEP_01342	WP_087494671.1	hypothetical protein
AEP_01343	WP_087494672.1	ABC transporter permease
AEP_01344	WP_087494673.1	ATP-binding cassette domain-containing protein
AEP_01345	WP_087494674.1	Fur family transcriptional regulator
none	WP_198301907.1	hypothetical protein
AEP_01346	WP_087494675.1	zinc ABC transporter ATP-binding protein AztA
AEP_01347	WP_087497223.1	metal ABC transporter permease
AEP_01348	WP_087494676.1	metal ABC transporter substrate-binding protein
AEP_01349	WP_087494677.1	hypothetical protein
AEP_01350	WP_087494678.1	sigma-54 dependent transcriptional regulator
AEP_01351	WP_087494679.1	HAMP domain-containing histidine kinase
AEP_01352	WP_087494680.1	peptide-methionine (S)-S-oxide reductase MsrA
AEP_01353	WP_087494681.1	TetR/AcrR family transcriptional regulator
AEP_01354	WP_087494682.1	efflux RND transporter periplasmic adaptor subunit
AEP_01355	WP_087494683.1	efflux RND transporter permease subunit
AEP_01356	WP_087494684.1	protein-L-isoaspartate O-methyltransferase
AEP_01357	WP_087494685.1	rhodanese-like domain-containing protein
AEP_01358	WP_087494686.1	TolC family outer membrane protein
AEP_01359	WP_087494687.1	hypothetical protein
AEP_01360	WP_087494688.1	DUF1045 domain-containing protein
AEP_01361	WP_087494689.1	phosphonate metabolism transcriptional regulator PhnF
AEP_01362	WP_087494690.1	phosphonate C-P lyase system protein PhnG
AEP_01363	WP_087494691.1	phosphonate C-P lyase system protein PhnH
AEP_01364	WP_087494692.1	carbon-phosphorus lyase complex subunit PhnI
AEP_01365	WP_087497224.1	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ
AEP_01366	WP_087494693.1	GNAT family N-acetyltransferase
AEP_01367	WP_087494694.1	phosphonate C-P lyase system protein PhnK
AEP_01368	WP_087494695.1	phosphonate C-P lyase system protein PhnL
AEP_01369	WP_087494696.1	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
AEP_01370	WP_087494697.1	phosphonate ABC transporter ATP-binding protein
AEP_01371	WP_087494698.1	phosphonate ABC transporter substrate-binding protein
AEP_01372	WP_087494699.1	phosphonate ABC transporter, permease protein PhnE
AEP_01373	WP_087494700.1	HD domain-containing protein
AEP_01374	WP_087497225.1	3-deoxy-D-manno-octulosonic acid transferase
AEP_01375	WP_232459952.1	lipopolysaccharide heptosyltransferase I
AEP_01376	WP_087497226.1	phosphomannomutase/phosphoglucomutase
AEP_01377	WP_087494702.1	helix-turn-helix domain-containing protein
AEP_01378	WP_087494703.1	methylated-DNA--[protein]-cysteine S-methyltransferase
AEP_01379	WP_087494704.1	DMT family transporter
AEP_01380	WP_087497227.1	DUF1345 domain-containing protein
AEP_01384	WP_087494705.1	glutamate--tRNA ligase
AEP_01385	WP_087494706.1	O-succinylhomoserine sulfhydrylase
AEP_01386	WP_087494707.1	amidophosphoribosyltransferase
AEP_01387	WP_087494708.1	CvpA family protein
AEP_01388	WP_087494709.1	SPOR domain-containing protein
AEP_01389	WP_087494710.1	bifunctional tetrahydrofolate synthase/dihydrofolate synthase
AEP_01390	WP_087494711.1	ArsC family reductase
AEP_01391	WP_087494712.1	pyrimidine/purine nucleoside phosphorylase
AEP_01392	WP_087494713.1	argininosuccinate synthase
AEP_01393	WP_087494714.1	molybdopterin-dependent oxidoreductase
AEP_01394	WP_087494715.1	ATP-binding protein
AEP_01395	WP_087494716.1	complex I NDUFA9 subunit family protein
AEP_01396	WP_087494717.1	UDP-N-acetylmuramate dehydrogenase
AEP_01397	WP_087494718.1	YajQ family cyclic di-GMP-binding protein
AEP_01398	WP_087494719.1	TIGR02281 family clan AA aspartic protease
AEP_01399	WP_087494720.1	phosphodiesterase
AEP_01400	WP_087494721.1	glycerol-3-phosphate 1-O-acyltransferase PlsY
AEP_01401	WP_087494722.1	aminoacyl-tRNA deacylase
AEP_01402	WP_087494723.1	aldo/keto reductase
none	none	MCP four helix bundle domain-containing protein
none	none	methyl-accepting chemotaxis protein
AEP_01404	WP_087494725.1	AMP-binding protein
AEP_01405	WP_087494726.1	alpha/beta hydrolase
AEP_01406	WP_087494727.1	extracellular solute-binding protein
AEP_01407	WP_087497228.1	iron ABC transporter permease
AEP_01408	WP_087494728.1	ABC transporter ATP-binding protein
AEP_01409	WP_157673072.1	peptide chain release factor 2
AEP_01410	WP_257789659.1	HAD family phosphatase
AEP_01411	WP_087494730.1	aminopeptidase N
AEP_01412	WP_087494731.1	class 1 fructose-bisphosphatase
AEP_01414	WP_087494732.1	hypothetical protein
AEP_01415	WP_087494733.1	class II glutamine amidotransferase
AEP_01416	WP_087494734.1	hypothetical protein
AEP_01417	WP_198301908.1	hybrid sensor histidine kinase/response regulator
AEP_01418	WP_087494736.1	ATP-binding protein
AEP_01419	WP_198301909.1	molybdopterin-dependent oxidoreductase
AEP_01420	WP_087494737.1	HAMP domain-containing histidine kinase
AEP_01421	WP_087494738.1	response regulator
AEP_01422	WP_087494739.1	PAS domain S-box protein
AEP_01423	WP_232459953.1	response regulator
AEP_01424	WP_157673073.1	HAMP domain-containing histidine kinase
AEP_01425	WP_087494742.1	response regulator
AEP_01426	WP_087494743.1	ParA family protein
AEP_01427	WP_157673074.1	methyl-accepting chemotaxis protein
AEP_01428	WP_087494744.1	response regulator
AEP_01429	WP_087494745.1	hypothetical protein
AEP_01430	WP_087494746.1	chemotaxis protein CheW
AEP_01431	WP_087494747.1	response regulator
AEP_01432	WP_087494748.1	protein-glutamate O-methyltransferase CheR
AEP_01433	WP_087494749.1	HEAT repeat domain-containing protein
AEP_01434	WP_087494750.1	chemotaxis-specific protein-glutamate methyltransferase CheB
AEP_01435	WP_087494751.1	chemotaxis protein CheW
AEP_01436	WP_087494752.1	methyl-accepting chemotaxis protein
AEP_01437	WP_087494753.1	response regulator
AEP_01438	WP_087494754.1	YdcF family protein
AEP_01439	WP_087494755.1	hemolysin family protein
AEP_01440	WP_087494756.1	symmetrical bis(5'-nucleosyl)-tetraphosphatase
AEP_01441	WP_087497231.1	DEAD/DEAH box helicase
AEP_01442	WP_087494757.1	neutral zinc metallopeptidase
AEP_01443	WP_087497232.1	dCMP deaminase family protein
AEP_01444	WP_157673075.1	hypothetical protein
AEP_01445	WP_087494759.1	MFS transporter
AEP_01446	WP_087494760.1	guanine deaminase
AEP_01447	WP_087494761.1	6-carboxytetrahydropterin synthase
AEP_01448	WP_087494762.1	7-carboxy-7-deazaguanine synthase
AEP_01449	WP_087494763.1	adenosine deaminase
AEP_01450	WP_087494764.1	aromatic ring-hydroxylating dioxygenase subunit alpha
AEP_01451	WP_087494765.1	BMP family ABC transporter substrate-binding protein
AEP_01452	WP_087494766.1	ABC transporter permease
AEP_01453	WP_087494767.1	ABC transporter permease
AEP_01454	WP_087494768.1	ABC transporter ATP-binding protein
AEP_01455	WP_087494769.1	LysR family transcriptional regulator
AEP_01456	WP_087494770.1	xanthine dehydrogenase small subunit
AEP_01457	WP_087494771.1	xanthine dehydrogenase molybdopterin binding subunit
AEP_01458	WP_087494772.1	Crp/Fnr family transcriptional regulator
AEP_01459	WP_087497233.1	glycerate kinase
AEP_01460	WP_087494773.1	8-oxoguanine deaminase
AEP_01461	WP_087494774.1	glucarate dehydratase
AEP_01462	WP_087497234.1	FadR family transcriptional regulator
AEP_01463	WP_087494775.1	NAD(P)-dependent oxidoreductase
AEP_01464	WP_087494776.1	SMP-30/gluconolactonase/LRE family protein
AEP_01465	WP_087494777.1	TRAP transporter substrate-binding protein
AEP_01466	WP_087494778.1	TRAP transporter small permease
AEP_01467	WP_087494779.1	TRAP transporter large permease
AEP_01468	WP_087494780.1	tripartite tricarboxylate transporter substrate binding protein
AEP_01469	WP_087494781.1	galactarate dehydratase
AEP_01470	WP_087494782.1	2-dehydro-3-deoxyglucarate aldolase
AEP_01471	WP_087494783.1	2-hydroxy-3-oxopropionate reductase
AEP_01472	WP_087494784.1	TRAP transporter substrate-binding protein
AEP_01473	WP_087494785.1	LysE family translocator
AEP_01474	WP_087494786.1	tetratricopeptide repeat-containing glycosyltransferase family protein
AEP_01475	WP_087494787.1	urate hydroxylase PuuD
AEP_01476	WP_087494788.1	xanthine dehydrogenase accessory protein XdhC
AEP_01477	WP_198301911.1	hypothetical protein
AEP_01478	WP_087494789.1	hydroxyisourate hydrolase
AEP_01479	WP_087497236.1	GntR family transcriptional regulator
AEP_01480	WP_087494790.1	allantoinase PuuE
AEP_01481	WP_087494791.1	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
AEP_01482	WP_087494792.1	M20/M25/M40 family metallo-hydrolase
AEP_01483	WP_087494793.1	purine permease
AEP_01484	WP_087494794.1	ABC transporter substrate-binding protein
AEP_01485	WP_087494795.1	ABC transporter ATP-binding protein
AEP_01486	WP_087494796.1	ABC transporter permease
AEP_01487	WP_087494797.1	nucleoside deaminase
AEP_01488	WP_087494798.1	urease accessory protein UreD
AEP_01489	WP_087494799.1	response regulator
AEP_01490	WP_087494800.1	urea ABC transporter ATP-binding subunit UrtE
AEP_01491	WP_087494801.1	urea ABC transporter ATP-binding protein UrtD
AEP_01492	WP_087494802.1	urea ABC transporter permease subunit UrtC
AEP_01493	WP_087494803.1	urea ABC transporter permease subunit UrtB
AEP_01494	WP_087494804.1	urea ABC transporter substrate-binding protein
AEP_01495	WP_087494805.1	hypothetical protein
AEP_01496	WP_087494806.1	DUF6502 family protein
AEP_01497	WP_157673076.1	DUF5666 domain-containing protein
AEP_01498	WP_087494809.1	FecR domain-containing protein
